command,source_path,owner,category,status,effect,mutates,usage_access,summary,usage,examples,notes,risk,related,lead_comments
SQLITE,src/cli/cmd_sqlite.cpp,DOT|SQLITE,sql,supported,mixed,sqlite-connection external-sqlite-db,SQLITE USAGE,"Thin SQLite command wrapper for status, connection management, Bible seed
  helpers, metadata inspection, SELECT queries, and EXEC statements.","SQLITE
  SQLITE USAGE
  SQLITE STATUS
  SQLITE CWD
  SQLITE PWD
  SQLITE VERSION
  SQLITE OPEN <file>
  SQLITE OPEN :memory:
  SQLITE DB <file>
  SQLITE DB :memory:
  SQLITE BIBLE
  SQLITE BIBLECHECK
  SQLITE BIBLECHK
  SQLITE BOOKS
  SQLITE VERSE <ref>
  SQLITE SEARCH <phrase>
  SQLITE LIST <table>
  SQLITE LIST <table> <limit>
  SQLITE COLUMNS <table>
  SQLITE CLOSE
  SQLITE TABLES
  SQLITE SCHEMA
  SQLITE SCHEMA <table-or-view>
  SQLITE EXEC <sql>
  SQLITE SELECT <sql>",,"SQLITE with no arguments reports connection status and brief usage.
  SQLITE USAGE, HELP, and question mark print detailed usage.
  OPEN and DB connect to a SQLite database and create it if needed.
  BIBLE and BIBLECHECK open/check the canonical Bible seed database when found.
  EXEC runs non-SELECT SQL and may mutate the external SQLite database.
  SELECT prints query rows and caps output for CLI responsiveness.
  SQLITE is independent of DBF open/order state.",,"SQLVER
  IMPORT
  EXPORT","  SQLITE LIST <table> [limit]    -> quick table preview
  SQLITE COLUMNS <table>         -> show table columns
  SQLITE CLOSE                   -> close
  SQLITE TABLES                  -> list user tables/views
  SQLITE SCHEMA [name]           -> show schema rows; optional table/view name
  SQLITE EXEC <sql...>           -> execute non-SELECT SQL
  SQLITE SELECT <sql...>         -> run a SELECT and print rows
Notes:
  - Independent of DBF open/order state.
  - SQLite is an external SQL/RDBMS backend surface, not native DbArea storage.
  - EXEC/SELECT/TABLES/SCHEMA require an explicit SQLITE OPEN first.
  - SELECT output is capped (MAX_SELECT_ROWS) to keep CLI responsive."
SQLSEL,src/cli/cmd_sql_select.cpp,DOT|SQLSEL,sql,supported,query,cursor-temporary,SQLSEL USAGE,Evaluate SQL-like selection predicates over the current DBF work area.,"SQLSEL USAGE
  SQLSEL [COUNT] [ALL|DELETED] [FOR <expr> | <expr>]","SQLSEL COUNT
  SQLSEL COUNT ALL
  SQLSEL COUNT FOR GPA >= 3.0
  SQLSEL LNAME = ""SMITH""","SQLSEL USAGE prints usage before open-table checks.
  SQLSEL reads records and may temporarily move the cursor.
  SQLSEL does not mutate table data.",,"SQL
  WHERE",src/cli/cmd_sql.cpp
SQLVER,src/cli/cmd_sqlver.cpp,DOT|SQLVER,sql,supported,report,none,SQLVER USAGE,"Report whether SQLite support is available and print the linked SQLite
  library version when available.","SQLVER
  SQLVER USAGE",,"SQLVER with no arguments reports SQLite availability/version.
  SQLVER is read-only and does not open SQLite databases.",,SQLITE,src/cli/cmd_sqlver.cpp
STATUS,src/cli/cmd_status.cpp,DOT|STATUS,workspace,supported,report,no,STATUS USAGE,"Report current or all open work-area status, including workspace occupancy,
  DBF flavor, active order/index state, tags, records, and optional structure details.","STATUS
  STATUS USAGE
  STATUS ALL
  STATUS VERBOSE
  STATUS ALL VERBOSE",,"STATUS with no arguments reports the current work area.
  STATUS ALL reports all open work areas.
  STATUS VERBOSE includes field structure details.
  STATUS is read-only; it reports session/work-area/index state and does not mutate table data.",,"AREA
  DBAREA
  DBAREAS
  STRUCT
  WORKSPACE",src/cli/cmd_status.cpp
STRUCT,src/cli/cmd_struct.cpp,DOT|STRUCT,workspace,supported,report,no,STRUCT USAGE,"Report DBF field structure and index/container information for the current
  area or all open areas.","STRUCT
  STRUCT USAGE
  STRUCT INDEX
  STRUCT FIELDS
  STRUCT ALL
  STRUCT ALL INDEX
  STRUCT ALL VERBOSE",,"STRUCT with no arguments reports field and index information for the current area.
  STRUCT INDEX is explicit index-info mode; index info is included by default.
  STRUCT FIELDS suppresses index info and reports fields only.
  STRUCT ALL reports all open areas.
  STRUCT ALL VERBOSE includes verbose CNX tag information where available.
  STRUCT is read-only; it reports structure/index metadata and does not mutate table data.",,"AREA
  DBAREA
  FIELDS
  STATUS
  WORKSPACE","src/cli/cmd_struct.cpp
STRUCT / STRUCT INDEX: prints DBF fields + index container info.
Supports:
  STRUCT                -> current area (fields + index info)
  STRUCT INDEX          -> same (explicit index mode)
  STRUCT ALL            -> all open areas
  STRUCT ALL INDEX      -> all open areas + index info
  STRUCT ALL VERBOSE    -> adds CNX tag table where available"
STUDENTECHO / SECHO,src/ext/cmd/cmd_student_echo.cpp,EXT|STUDENTECHO,extension-example,sample-extension,report,none,STUDENTECHO USAGE; SECHO USAGE,Student/custom extension sample that echoes the rest of the command line.,"STUDENTECHO USAGE
  STUDENTECHO <text>
  SECHO USAGE
  SECHO <text>","STUDENTECHO hello
  SECHO hello","Usage/help/? prints usage before echo output.
  This is a self-registering extension example, not a protected built-in.",,,
STUDENTHELLO / SHELLO,src/ext/cmd/cmd_student_hello.cpp,EXT|STUDENTHELLO,extension-example,sample-extension,report,none,STUDENTHELLO USAGE; SHELLO USAGE,Student/custom extension sample that greets a supplied name or message.,"STUDENTHELLO USAGE
  STUDENTHELLO <name-or-message>
  SHELLO USAGE
  SHELLO <name-or-message>","STUDENTHELLO Derald
  SHELLO class","Usage/help/? prints usage before greeting output.
  No-argument behavior keeps the existing sample greeting plus usage.
  This is a self-registering extension example, not a protected built-in.",,,
TEST,src/cli/cmd_test.cpp,DOT|TEST,test,supported,execute,delegates test commands session filesystem,TEST USAGE,"Run a DotTalk++ test or script file through the shell command executor,
  with optional log output and verbose echoing.","TEST USAGE
  TEST <scriptfile>
  TEST <scriptfile> VERBOSE
  TEST <scriptfile> <logfile>
  TEST <scriptfile> <logfile> VERBOSE","TEST smoke.dts
  TEST smoke.dts VERBOSE
  TEST smoke.dts smoke.log","TEST with no arguments shows usage.
  TEST resolves the script path through the shell script resolver.
  TEST strips supported inline comments before execution.
  TEST supports line continuation for accumulated logical commands.
  TEST executes accumulated logical commands through the shell command executor.
  TEST reports per-command failures and final processed/error counts.
  TEST can write or truncate a logfile when a logfile argument is supplied.
  TEST delegates side effects to commands in the test file and is not read-only.",,"DOTSCRIPT
  CMDHELP
  WORKSPACE
  CREATE
  USE",src/cli/cmd_test.cpp
TEXT,src/edu/edu_text.cpp,EDU|TEXT,utility-editor,supported,launch-editor,filesystem-or-memo-stub depending-on-mode,TEXT USAGE,"Open the text editor with an empty buffer, literal text, a file, or a memo
  field target stub.","TEXT USAGE
  TEXT
  TEXT <literal text>
  TEXT FILE <path>
  TEXT MEMO <field>","TEXT
  TEXT hello world
  TEXT FILE notes.txt
  TEXT MEMO NOTES","TEXT USAGE/HELP/? returns before entering editor mode.
  TEXT with no arguments preserves the existing empty-buffer editor behavior.
  TEXT MEMO remains an integration stub until memo editor wiring is complete.",,,"TEXT command.
Current scope:
- TEXT                    -> open editor with empty buffer
- TEXT <literal text>     -> open editor preloaded with literal text
- TEXT FILE <path>        -> edit file contents in-place
- TEXT MEMO <field>       -> validate memo target, leave stub for later wiring
Notes:
- FILE mode now reads the full remaining path, so paths with spaces work.
- MEMO mode remains a deliberate integration stub until memo editor wiring
  is finished.
- Engine truth remains in xbase.hpp / DbArea; this command stays in CLI layer.
=============================="
TEXT/EDIT/COBOL shim aliases,src/edu/edu_missing_shims.cpp,EDU|MISSING_SHIMS,education-shim,compatibility-shim,report,none,owned-by real TEXT/EDIT/COBOL implementations,"Fallback shim implementations used only when real EDU command
  implementations are not linked.","This file is not the canonical owner of TEXT, EDIT, or COBOL behavior.
  User-visible usage belongs to the real command implementations:
    edu_text.cpp
    edu_edit.cpp
    edu_cobol.cpp",,"Remove shims one at a time when real implementations provide the same
  symbols. Do not add new command behavior here unless deliberately creating
  a fallback.",,,"src/cli/edu_missing_shims.cpp
Temporary education-command shims for registry symbols that were declared
in shell_commands.hpp but are not currently linked into this build.
These shims are intentionally honest: they do not pretend to implement the
full TEXT, EDIT, or COBOL subsystems. They keep the shell command registry
linkable while the real educational modules are restored/refactored.
Remove one shim at a time when a real implementation provides the same
edu_* entrypoint."
TOP,src/cli/cmd_top.cpp,DOT|TOP,navigation,supported,navigate,cursor,TOP USAGE,"Move the current work-area cursor to the first visible/logical record using
  the shared filter-aware navigation selector.","TOP
  TOP USAGE",,"TOP with no arguments moves to the first visible record.
  TOP requires an open table except for TOP USAGE.
  TOP mutates cursor position but does not mutate table data.
  TALK ON prints the resulting record number.",,"BOTTOM
  SKIP
  GOTO
  GPS",
TRIGGER,src/cli/cmd_trigger.cpp,DOT|TRIGGER_IMPL,integration-stub,placeholder-shim,none,none,not-registered-here,Placeholder translation unit for future TRIGGER command/integration work.,"This file currently does not export a command handler.
  If TRIGGER becomes user-facing, add the runtime command handler and full usage contract together.",,Contract marker documents that this file was inspected and intentionally left behavior-neutral.,,,
TTESTAPP,src/cli/cmd_ttestapp.cpp,DOT|TTESTAPP_IMPL,integration-stub,placeholder-shim,none,none,not-registered-here,Placeholder translation unit for future TTESTAPP command/integration work.,"This file currently does not export a command handler.
  If TTESTAPP becomes user-facing, add the runtime command handler and full usage contract together.",,Contract marker documents that this file was inspected and intentionally left behavior-neutral.,,,
TUPEXPORT,src/cli/cmd_tupexport.cpp,DOT|TUPEXPORT,tuple,supported,export,filesystem,TUPEXPORT USAGE,"Export tuple graph rows to a CSV file using a tuple spec, optional field
  list, and optional FOR predicate.","TUPEXPORT USAGE
  TUPEXPORT CSV <path>
  TUPEXPORT CSV <path> <tuple-spec>
  TUPEXPORT CSV <path> FIELDS <field-list>
  TUPEXPORT CSV <path> * FOR <expr>","TUPEXPORT CSV tmp\students.csv
  TUPEXPORT CSV tmp\students_names.csv FIELDS LNAME,FNAME
  TUPEXPORT CSV tmp\students_major.csv STUDENTS.*,MAJORS.* FOR MAJORS.NAME = ""CS""","TUPEXPORT USAGE prints usage before open-table checks or file writes.
  TUPEXPORT writes/truncates the requested CSV file.
  Tuple cursor/workspace cursor state is restored best-effort.",,"TUPLE
  TUPTALK",
TUPLE,src/cli/cmd_tuple.cpp,DOT|TUPLE,tuple,supported,report,relation-refresh-state cursor,TUPLE USAGE,"Build and print a tuple row from the canonical tuple builder using a tuple
  field specification and optional output flags.","TUPLE
  TUPLE USAGE
  TUPLE <spec>
  TUPLE <spec> --HEADER
  TUPLE <spec> --AREA-PREFIX
  TUPLE <spec> --NO-ECHO
  TUPLE <spec> --STRICT
  TUPLE <spec> --HEADER-ONLY
  TUPLE <spec> --VALUES-ONLY
  TUPLE <spec> DEBUG
  TUPLE <spec> --DEBUG
  TUPLE <spec> --NULL <token>","TUPLE
  TUPLE LNAME,FNAME
  TUPLE STUDENTS.LNAME,STUDENTS.FNAME
  TUPLE * --HEADER
  TUPLE * --VALUES-ONLY","TUPLE with no arguments uses the default star spec.
  TUPLE delegates tuple truth to tuple_builder.
  TUPLE can print formatted output, raw unit-separated values, or both.
  --HEADER prints a header row before values.
  --AREA-PREFIX prefixes header columns with area context.
  --NO-ECHO preserves legacy raw-only scripting behavior.
  --VALUES-ONLY prints raw unit-separated values only.
  DEBUG and --DEBUG print the raw unit-separated row before formatted output.
  --STRICT asks the tuple builder to reject loose field matches.
  TUPLE is read-only for table data.",,"SMARTLIST
  TUPVALIDATE
  TUPTALK
  ERSATZ","src/cli/cmd_tuple.cpp
cmd_TUPLE delegates tuple assembly to the canonical builder (tuple_builder.*).
Printing and CLI flags remain here; data truth lives in the builder."
TUPLEDELTA,src/cli/cmd_tupledelta.cpp,DOT|TUPLEDELTA,tuple,experimental,inspect,none,TUPLEDELTA USAGE,"Compare two named tuple streams and report insert, delete, and update
  deltas. The loader remains a skeleton until tuple stream storage is finalized.","TUPLEDELTA USAGE
  TUPLEDELTA <baseline-stream> <current-stream>",,"TUPLEDELTA requires two stream names except for TUPLEDELTA USAGE.
  Tuple stream loading is not implemented in this skeleton.
  REC_ID or PRIMARY UNIQUE is intended to be the identity key.
  Field-level diffing is intentionally stubbed for now.
  TUPLEDELTA is diagnostic and does not mutate table or index data.",,"TUPLE
  SMARTLIST
  ERSATZ","cmd_tupledelta.cpp
DotTalk++ tuple delta command skeleton.
Purpose:
  Compare two tuple streams and report INSERT / DELETE / UPDATE changes.
Command surface:
  TUPLEDELTA <baseline-stream> <current-stream>
Notes:
  - REC_ID / PRIMARY UNIQUE should be the identity key.
  - Field-level diffing is intentionally stubbed.
  - Stream loading is intentionally abstracted until tuple stream storage
    format is finalized."
TUPTALK,src/cli/cmd_tuptalk.cpp,DOT|TUPTALK,tuple,supported,mixed,tuptalk-buffer filesystem,TUPTALK USAGE,"Tuple-based normalization test harness and live DBF capture tool for
  building, normalizing, dumping, exporting, and pushing tuple entries.","TUPTALK
  TUPTALK USAGE
  TUPTALK RESET
  TUPTALK ADD <type> <len> <raw>
  TUPTALK ADD <type> <len> <dec> <raw>
  TUPTALK LIST
  TUPTALK NORMALIZE
  TUPTALK DUMP
  TUPTALK EXPORT CSV
  TUPTALK EXPORT TSV
  TUPTALK EXPORT CSV <path>
  TUPTALK EXPORT TSV <path>
  TUPTALK PUSH <field>
  TUPTALK PUSH ALL
  TUPTALK PUSH ALL FILTER <mask>
  TUPTALK PUSH FILTER <mask>
  TUPTALK PUSH ROW","TUPTALK PUSH LASTNAME
  TUPTALK PUSH 3
  TUPTALK PUSH ALL
  TUPTALK PUSH ALL FILTER CND
  TUPTALK PUSH ROW","TUPTALK with no arguments shows usage/help and buffer status.
  TT is wired as a shell alias for TUPTALK.
  ADD creates a test entry from raw text and schema type metadata.
  NORMALIZE fills normalized values using value_normalize.
  PUSH captures fields or rows from the current DBF record.
  EXPORT writes CSV or TSV when a path is supplied or uses default behavior.
  TUPTALK mutates its process-local scratch buffer and may write export files.",,"TUPLE
  TUPVALIDATE
  FIELDS","  TUPTALK NORMALIZE
  TUPTALK DUMP
  TUPTALK EXPORT CSV|TSV [<path>]
  TUPTALK PUSH <fieldName|#>          # capture one field (schema type/len/dec + current record value)
  TUPTALK PUSH ALL [FILTER <mask>]    # capture all fields; optional mask (e.g., CND)
  TUPTALK PUSH FILTER <mask>          # alias of: PUSH ALL FILTER <mask>
  TUPTALK PUSH ROW                    # capture entire fixed-width padded row as one entry
  TUPTALK HELP
Notes:
- Field lookup is forgiving: exact (case-insensitive) ? unique prefix ? unique substring.
- PUSH ROW builds a single fixed-width, schema-aligned row (good for round-trip tests).
- When printing schema lengths/decimals we cast to int (avoid unsigned-char/control-char issues)."
TUPVALIDATE,src/cli/cmd_tupvalidate.cpp,DOT|TUPVALIDATE,tuple,supported,validate,cursor,TUPVALIDATE USAGE,"Validate tuple graph rows for the current table using the tuple graph cursor
  and relation-aware tuple validation layer.","TUPVALIDATE
  TUPVALIDATE USAGE
  TUPVALIDATE *
  TUPVALIDATE <tuple-spec>
  TUPVALIDATE * FOR <expr>
  TUPVALIDATE * FOR <expr> MAX <n>
  TUPVALIDATE * FOR <expr> TRACE","TUPVALIDATE LNAME,FNAME
  TUPVALIDATE STUDENTS.*,MAJORS.* FOR MAJORS.NAME = CS","TUPVALIDATE with no arguments validates the default star tuple spec.
  TUPVALIDATE USAGE prints usage and does not require an open table.
  The tuple graph cursor uses active ordering and relation context.
  Validation checks tuple cells against their source work areas when available.
  Cursor restoration is reported after validation.
  TUPVALIDATE is read-only for table data but moves cursors during validation.",,"TUPLE
  TUPTALK
  ERSATZ
  REL",
TURBOPACK,src/cli/cmd_turbo_pack.cpp,DOT|TURBOPACK,destructive-table-structure,supported,fast-compact-plain-dbf,table-file closes-table order-state,TURBOPACK USAGE,"Fast byte-oriented compaction for plain non-memo, non-x64 DBF tables.","TURBOPACK USAGE
  TURBOPACK",TURBOPACK,"TURBOPACK USAGE prints usage before open-table checks.
  TURBOPACK is a fast path for plain DBF tables only.
  Memo tables and x64 tables are refused; use PACK instead.
  TURBOPACK closes the table on success.
  Index containers must be rebuilt/rebound after TURBOPACK.",,"PACK
  ZAP
  RECALL","src/cli/cmd_turbo_pack.cpp
TURBOPACK — fast, low-level DBF compaction (byte-oriented)
Removes physically deleted records (* flag) by rewriting only live ones.
Scope / contract:
  - Fast path for plain DBF tables only.
  - Memo tables are explicitly refused.
  - X64 tables are explicitly refused for now.
POLICY (2026):
  - Structural command (file-level operation)
  - Leaves table CLOSED on success
  - User must USE to reopen
  - Indexes should be rebuilt/rebound after"
TVISION,src/cli/cmd_tvision.cpp,DOT|TVISION,diagnostics,stub,report,none,TVISION USAGE,Confirm Turbo Vision/TUI support is linked; this is currently a stub.,"TVISION
  TVISION USAGE",TVISION,"TVISION with no arguments prints the current TUI support status.
  TVISION USAGE prints usage.
  This command does not launch a TUI yet.",,"RBROWSE
  SMARTBROWSER",src/cli/cmd_tvision.cpp
UNLOCK,src/cli/cmd_unlock.cpp,DOT|UNLOCK,locking,supported,release-lock,lock-state,UNLOCK USAGE,"Release the current record lock, a specified record lock, or the table lock.","UNLOCK USAGE
  UNLOCK
  UNLOCK <recno>
  UNLOCK ALL
  UNLOCK TABLE","UNLOCK
  UNLOCK 10
  UNLOCK ALL
  UNLOCK TABLE","UNLOCK USAGE returns before open-table checks.
  UNLOCK with no arguments unlocks the current record.
  UNLOCK ALL and UNLOCK TABLE release the table lock.",,"LOCK
  RLOCK
  FLOCK",
UNTIL,src/cli/cmd_until.cpp,DOT|UNTIL,script,supported,loop,until-state cursor delegates-command-effects,UNTIL USAGE,"Buffer and execute an UNTIL...ENDUNTIL loop from the current record until a
  boolean expression becomes true.","UNTIL USAGE
  UNTIL <bool-expr> [QUIET]
  ENDUNTIL
  ENDUNTIL USAGE","UNTIL EOF()
      TUPLE LNAME,FNAME,GPA
  ENDUNTIL","UNTIL USAGE and ENDUNTIL USAGE do not start or execute a loop.
  UNTIL starts buffering; the shell must route body lines to UNTIL_BUFFER.
  ENDUNTIL executes buffered body lines through the canonical loop executor.
  Execution starts at the current record and advances one record per iteration.
  Buffered body command effects are owned by those commands.",,"IF
  WHILE
  SCAN","============================================================================
path: src/cli/cmd_until.cpp
purpose: UNTIL / ENDUNTIL with private buffering (no loop_state deps)
usage:
  UNTIL <bool-expr> [QUIET]  -> begin buffering; shell routes lines to UNTIL_BUFFER
  ENDUNTIL                   -> execute body until <expr> becomes true
notes:
  - Starts from the CURRENT record (does NOT force TOP).
  - Advances with A.skip(1); stops hard at EOF/BOF or empty tables.
  - Buffer persists after ENDUNTIL (mirrors ENDLOOP).
============================================================================"
UPDATE,src/cli/cmd_sql_update.cpp,DOT|UPDATE,sql,supported,update-records,table-data,UPDATE USAGE,Update records in the current DBF work area using SQL-like SET/WHERE syntax.,"UPDATE USAGE
  UPDATE SET <field>=<value>[, ...] [WHERE <expr>]","UPDATE SET GPA=3.5 WHERE SID = 1001
  UPDATE SET MAJOR=""CSCI"" WHERE MAJOR = ""CS""","UPDATE USAGE prints usage before open-table checks.
  UPDATE without WHERE may update all visible records depending on implementation.
  Use WHERE intentionally.",,"SQL
  INSERT
  SQLERASE",
USE,src/cli/cmd_use.cpp,DOT|USE,workspace,supported,session,session area order memo index,USE USAGE,"Open a DBF table into the current work area, with duplicate-open guard,
  memo auto-attach, optional index auto-attach, and NOINDEX physical-order mode.","USE USAGE
  USE <table>
  USE <table.dbf>
  USE <path\table.dbf>
  USE <table> NOINDEX
  USE <table> NOIDX",,"USE requires a table name or path; no usable argument shows usage.
  Relative logical names resolve through the configured DBF path slot.
  USE prevents duplicate opens of the same DBF path across work areas.
  USE clears stale order/tag/container state and closes the current area before opening the new DBF.
  USE opens the target DBF and populates DbArea metadata.
  USE auto-attaches memo storage when memo fields are present.
  USE auto-attaches flavor-appropriate indexes when present, unless NOINDEX/NOIDX is specified.
  USE prefers the configured INDEXES slot and falls back to the DBF directory.
  NOINDEX/NOIDX opens the table in physical order and skips index auto-attach.
  USE is a session/area mutation command; it changes the current work area binding but should not mutate table records.",,"CLOSE
  WORKSPACE
  SETPATH
  SET ORDER
  SET INDEX
  STRUCT
  DBAREA","src/cli/cmd_use.cpp
DotTalk++ USE command (open DBF in a work area) — duplicate-open guard, NOINDEX, auto-attach"
VALIDATE,src/cli/cmd_validate.cpp,DOT|VALIDATE,validation,supported,validate,delegated-subcommand,VALIDATE USAGE,Route validation subcommands such as VALIDATE UNIQUE to their handlers.,"VALIDATE USAGE
  VALIDATE UNIQUE USAGE
  VALIDATE UNIQUE FIELD <name> [IGNORE DELETED] [REPAIR] [REPORT TO <path>]","VALIDATE UNIQUE FIELD SID
  VALIDATE UNIQUE FIELD EMAIL IGNORE DELETED
  VALIDATE UNIQUE FIELD SID REPAIR
  VALIDATE UNIQUE FIELD SID REPORT TO tmp\sid_dupes.txt","VALIDATE with no arguments prints usage.
  VALIDATE USAGE prints usage and does not scan or repair records.
  VALIDATE UNIQUE is delegated to the UNIQUE validator.
  REPAIR may mutate field values; use it intentionally.",,"RULE
  WHERE","src/cli/cmd_validate.cpp -- VALIDATE router
Forwards subcommands like ""VALIDATE UNIQUE ..."" to their handlers."
VALIDATE UNIQUE,src/cli/cmd_validate_unique.cpp,DOT|VALIDATE_UNIQUE,validation,supported,validate,optional-table-data,VALIDATE UNIQUE USAGE,"Scan the current work area for duplicate/blank values in a field, optionally
  repairing numeric/autokey-style duplicate values.","VALIDATE UNIQUE USAGE
  VALIDATE UNIQUE FIELD <name> [IGNORE DELETED] [REPAIR] [REPORT TO <path>]","VALIDATE UNIQUE FIELD SID
  VALIDATE UNIQUE FIELD EMAIL IGNORE DELETED
  VALIDATE UNIQUE FIELD SID REPAIR
  VALIDATE UNIQUE FIELD SID REPORT TO tmp\sid_dupes.txt","VALIDATE UNIQUE USAGE prints usage before open-table checks.
  REPAIR currently supports numeric/autokey-style fields only.
  REPORT TO writes a duplicate report file.
  Without REPAIR this command scans and reports only.",,"VALIDATE
  RULE","VALIDATE UNIQUE FIELD <name> [IGNORE DELETED] [REPAIR] [REPORT TO <path>]
Scans current work area and reports duplicates for the given field.
REPAIR is intended for numeric unique/autokey-style fields:
  - blank values are assigned new numbers
  - duplicate values keep the first occurrence
  - later duplicates are assigned new numbers"
VAR,src/cli/cmd_var.cpp,DOT|VAR,scripting,supported,parse,none-currently,VAR USAGE,Validate and accept DotScript variable assignment syntax.,"VAR USAGE
  VAR <name> = <expression>","VAR threshold = 3.0
  VAR label = UPPER(LNAME)
  VAR today = DATE()","VAR with no arguments prints usage.
  VAR USAGE prints usage and does not validate/accept an assignment.
  Current implementation validates the variable name and expression presence,
  then reports the accepted assignment.",,"DOTSCRIPT
  CALC",
VERSION,src/cli/cmd_version.cpp,DOT|VERSION,report,supported,report,none,VERSION USAGE,Report the DotTalk++ version label and build date/time.,"VERSION
  VERSION USAGE",,"VERSION with no arguments reports version and build information.
  VERSION USAGE prints usage.
  VERSION is read-only and does not mutate table data or session state.",,"ABOUT
  SQLVER",
VMWARE,src/cli/cmd_vmware.cpp,DOT|VMWARE_IMPL,integration-stub,placeholder-shim,none,none,not-registered-here,Placeholder translation unit for future VMWARE command/integration work.,"This file currently does not export a command handler.
  If VMWARE becomes user-facing, add the runtime command handler and full usage contract together.",,Contract marker documents that this file was inspected and intentionally left behavior-neutral.,,,
VT200,src/cli/cmd_vt200.cpp,DOT|VT200_IMPL,terminal-helper,placeholder-shim,none,none,not-registered-here,Placeholder translation unit for future VT200 terminal support.,"This file currently does not export a command handler.
  If VT200 becomes user-facing, add the runtime command handler and full usage contract together.",,Contract marker documents that this file was inspected and intentionally left behavior-neutral.,,,
WA,src/cli/cmd_wamreport.cpp,DOT|WA,diagnostics,supported,report,none,WA USAGE,Print the WorkAreaManager/engine bridge report and pointer identity checks.,"WA
  WA USAGE","WA
  WA USAGE","WA with no arguments prints the full WAM report.
  WA USAGE prints usage without inspecting the WorkAreaManager bridge.
  WA is read-only and does not mutate table data.",,"WSREPORT
  AREA
  WORKSPACE",
WEB,src/cli/cmd_web.cpp,DOT|WEB,network,supported,network-or-file,optional-filesystem,WEB USAGE,"Open, fetch, or inspect web URLs using the default handler or WinHTTP.","WEB USAGE
  WEB OPEN <url>
  WEB LAUNCH <url>
  WEB GET <url>
  WEB HEAD <url>
  WEB FETCH <url> TO <file>","WEB OPEN https://example.com
  WEB HEAD https://example.com
  WEB GET https://example.com
  WEB FETCH https://example.com/data.csv TO tmp\data.csv","WEB USAGE prints usage and does not launch a browser, make a network request, or write files.
  WEB OPEN/LAUNCH use the OS default URL handler.
  WEB GET/HEAD use HTTP request support where implemented.
  WEB FETCH writes the response body to the requested file.",,"SFTP
  PSHELL",
WHERE,src/cli/cmd_where.cpp,DOT|WHERE,filter,supported,filter,where-state filter-state,WHERE USAGE,"Show, set, debug, or clear the WHERE predicate state bound into SET FILTER.","WHERE
  WHERE USAGE
  WHERE <expr>
  WHERE <expr> DEBUG
  WHERE CLEAR
  WHERE OFF",,"WHERE with no arguments reports current WHERE state.
  WHERE <expr> compiles the predicate, probes the current record for diagnostics, and delegates to SET FILTER.
  WHERE CLEAR and WHERE OFF clear WHERE state and the associated SET FILTER path.
  WHERE DEBUG prints compile/field diagnostics for the expression.
  WHERE USAGE prints usage without changing filter state.",,"SETFILTER
  COUNT
  LIST
  SMARTLIST","===============================
src/cli/cmd_where.cpp
WHERE expression state + shared evaluator + optional DEBUG plan dump
WHERE is bound into the runtime SET FILTER path.
==============================="
WHERECACHE,src/cli/cmd_wherecache.cpp,DOT|WHERECACHE,diagnostics,supported,mixed,where-cache,WHERECACHE USAGE,Inspect or tune the shared WHERE expression evaluation cache.,"WHERECACHE
  WHERECACHE USAGE
  WHERECACHE STATS
  WHERECACHE CLEAR
  WHERECACHE CAP <n>","WHERECACHE
  WHERECACHE STATS
  WHERECACHE CAP 256
  WHERECACHE CLEAR","WHERECACHE with no arguments reports cache stats and usage.
  WHERECACHE USAGE prints usage and does not clear or resize the cache.
  CLEAR empties the cache; CAP changes the cache capacity.
  WHERECACHE does not mutate table data.",,"WHERE
  SET FILTER","===============================================
src/cli/cmd_wherecache.cpp
Developer command: WHERECACHE STATS | CLEAR | CAP <n>
==============================================="
WHILE,src/cli/cmd_while.cpp,DOT|WHILE,script,supported,loop,while-state cursor delegates-command-effects,WHILE USAGE,"Buffer and execute a WHILE...ENDWHILE loop from the current record while a
  boolean expression remains true.","WHILE USAGE
  WHILE <bool-expr> [QUIET]
  ENDWHILE
  ENDWHILE USAGE","WHILE GPA >= 3.0
      TUPLE LNAME,FNAME,GPA
  ENDWHILE","WHILE USAGE and ENDWHILE USAGE do not start or execute a loop.
  WHILE starts buffering; the shell must route body lines to WHILE_BUFFER.
  ENDWHILE executes buffered body lines through the canonical loop executor.
  Execution starts at the current record and advances one record per iteration.
  Buffered body command effects are owned by those commands.",,"IF
  UNTIL
  SCAN","============================================================================
path: src/cli/cmd_while.cpp
purpose: WHILE / ENDWHILE with private buffering (no loop_state deps)
usage:
  WHILE <bool-expr> [QUIET]  -> begin buffering; shell must route lines to WHILE_BUFFER
  ENDWHILE                   -> execute buffered body while <expr> remains true
notes:
  - Boolean evaluator is provided by shell via while_set_condition_eval(...).
  - Starts from the CURRENT record (does NOT force TOP).
  - Advances with A.skip(1) and stops hard at EOF/BOF or empty tables.
  - Buffer persists after ENDWHILE (mirrors ENDLOOP behavior).
============================================================================"
